address, balance_nyzo, in_cycle, in_queue, drop_rules, drop_amount, dropped_amount, trx_id, height
007deef939e73f2e59ab37adae07d7cf5657b82613a740637b6a86e6a80374f6,21829849,0,0,0+,125000000,125000000,tx__J080005Zqjktw0000000000107VL~jEEfQXqHRvKIxwoRTqoL2pjGS1AvUH6XHx3ufp000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc322yHUswz6yvy-CfUzUTznGL3thQLGnyqk87dd3z1rPErdWvqKFZMSSAuHgq1AteKxzFtZd8V9Fi_zQEX2N4dF5uvemIcqv,13241969
0086e0e0c0d861cedf6906b915c9c8dd08b2b1e408e3bea0ce7d7657f902e445,592233704,1,0,0+2+,175000000,175000000,tx__J080005ZqgTw30000000000108sxWc3pptZwrgrX5tE8VgzQJvg8WZYxRETUm_B2X4k000000cFcH2Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc30Q5ZW.S-n9x74M48J_bU1I~fy8x6jiB55xRbEME1B9WmBqK7g~LBzTKtPKSE1qoi1vF9AfktEWrFMiC.JUbst8W76aamoA,13241597
00a4870ade586ca1503569803a9d11df009d7d6ff0883dc7d64f0e25a8832682,461895104,1,0,0+2+,175000000,175000000,tx__J080005ZqbVk-000000000010ai72KXpsa5gdnD0eGShVN2uwn_Nz3V7TB-e9rz39F8000000cFa02Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc33oKKNxrDDFSaMyRor158C~J5TMgMYSjvhrI65pthAZK87yRNKQdj0S5hQJJKdZqTI8IqXVeXoMhGeU6cf67t47u49KR_Cq,13240852
00a544f91b75ba130adcd0dc92f35f55e140c30fec4a411a5c0f0d54bc75b5ad,48163293,0,0,0+,125000000,125000000,tx__J080005ZqoZWJ000000000010am4~hKTLycaVd3tBMdwmv50NN_JiB4ro0-dmbPTKrS000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc33B045wSympkXtE7mpAtNcXcoIEppi-ytnIr.K-nLeCaN655h.Se4NeZw3X7-8MxzfSsn1fW9J30QNmEAY3pzk6bapctr9D,13242660
00a8a25e7e3291415f8d7fab39823dd6078c9056eebec80dc285d44d4edc1a78,145536340,0,0,0+,125000000,125000000,tx__J080005Zqg1Vz000000000010azzoEWQBk5wAo~Iep8.TxvcB5sLMJxdNFokjkZt6Ex000000cFcriSp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc31Z19xy4bJ5CeptFQjeZxerI2-wZCyeRjgDhexHveVRk54~LSxR8AqaE2XkbnPsyEPLrofzLLqMxUKsH1mhqE87gFwVZLJH,13241476
00ca5fb1379d560cfc43c1868bd6fc62712e14247ca111dd38b5b7a97c50648c,818587888,1,0,0+2+,175000000,175000000,tx__J080005ZqoSIo000000000010cGwJjvumxR-g-66z.s-pE4L52h-Fh7uebnVHoPgq8N000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc33MjKF8LdeRmN.k2GayqU8Z-RwKSMTkv~f9z7G2-C4LiwUI~PZHICbCkcAxnwNIvSV4ZzmQBeHPqR3_56MqHH48viIk0pZ~,13242643
00d28c474d5bac764ba53517ed306cff32e411464198d0e1a05927e167a7a509,68709060,1,0,0+2+,175000000,175000000,tx__J080005ZqhCg5000000000010dachSTsI7qbGjkoZj1J_RbB4kq1Dd3yF5BEWnvEGgB000000cFdozSp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc33IcIdzksj8ARvMRg2PvxQSkxrWt-zzh4q.3PmXgx8.hWa5gmyp8PPr6aBw-PAFxpIz_eDIJsq4F_FqP1NjgTNf530~vWUV,13241708
00d350f70bc6e4b8be80b1c93ceca5cdecd6100fa0200c956b3fe503d97148db,10972500,0,0,0+,125000000,125000000,tx__J080005Zqj0Zh000000000010ddg.NM6Xbz~xb79feQCRvRn40~x80QmrR_C0.CPidJ000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc33w4ebkKPPLXEdYP72GnjLoMdTbTS7-jxeBEvPnph7NUrqmQUct9suFnyTLdhNkqW5d2VibiuFW8ohaPoDWALNb7nZGLNtZ,13241923
00e778a87fc797044f5907e08e3ea9b4d077f4e624567af3afe0d7143a996541,69490393,1,0,0+2+,175000000,175000000,tx__J080005ZqkNj0000000000010euWH7_7CNhfngwxAAYGKd1V.epBmEIRI~3o53Hqqk4000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc32SGwuYzSBp4HXAL80jY9d-YxSjZwrXcM6NdzpzFyFrbEzDDcxrUf_RI3RkkxSbMiSxfxg5~xpjEYZ_.1HnIiB3E9_FVgI3,13242184
00fc7686cef9de79286dbc06b8480e1af9541c3b13b9cfbd2ef178800bee0a24,396634365,1,0,0+2+,175000000,175000000,tx__J080005Zqj37X000000000010fPUyJZXVEBFssN6L4xe6MCk73JjLt~.bM5Wx0ML2zg000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc33Po_TvH~ZX4vbnW-DH1Vj6Q8wBCL0T0PvxsXNw_CogbSaRy71tPWGqXzLva9Er-7W3_mRMyI0HL0PH5oNmW.xaPHgtqD9J,13241928
0102f1c77749dca7bf66898b6fb06bf0f734f244ef0a04ac543e291fcc5b404c,47169427,1,0,0+2+,175000000,175000000,tx__J080005Zqkfsw000000000010gbPPVu9Vav_qFDbsZ1I-ftS-BjM2xiJm3WG7-Psg4N000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc32s4BsvPrYrshv1CxY3Sr4UmyUiRtYR2HcvHRSXMyUnQbFX0_ccWtL3K7Rd12AgYQyIigBd5NdTNU0sPUe6TMg5Z2ui4-hL,13242107
010c8be86c71939a0be8a87b6c45e795e895271166effd801304c6e228b93c86,95994191,0,0,0+,125000000,125000000,tx__J080005ZqjcHT000000000010gQbY6PPBXFbYayZs4oECvzm9P5DZ_U04Nj6WzzXf8p000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc33SLSuDApdP~RNq-4gFJUKEQ73gLEkD2ekK_Y0gQAicMr1jLvUicJn96oh7Bv1VVu9-~vwXkrkSHy8K2uaiIx4eCrzxgwdf,13241951
011555c304031fc5e57302a2467171574aa653f89cef3c85f0d1f15643bc9ec0,2861051,1,0,2+,50000000,50000000,tx__IN80005ZqhEia000000000010hmmNNg37-oCtNazhE5PmSHDk_ztZRQ5-d7PmBe-EJ0000000cFdozSp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5mhkeBq1im94kB.geAkNbA0Nc30NcdqIbS3SDajVG~wJj79NMWgczIx0RKWitKS8fLEduJstv-NudTviRfNIGVs3dBJjtbYd7x-2Edf9hYvY_gjgfgPr624B,13241713
012965b0a462b97bd36d11b943e737dc2be717ea728dddb103cc68713edab8bb,88846522,0,0,0+,125000000,125000000,tx__J080005ZqnW3i000000000010iCCJahzLoMjsh6Xg~tVV2ME5~GQAuUP0-PFtjZrLbJ000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc33SATWyGng~iVDM90VAoRDhsSD3ZF_p9eRA1LU7p4Kt6pQ6xJaIoCWA5LijkbMrffCIGc0D5.B1~whSgcBwMXW8W6_6B9Lb,13242501
0130a3b0eeb41ee781125e0a9e528d041166f434827eedfabec7347eebc92889,1101438065,0,0,0+,125000000,125000000,tx__J080005ZqoItn000000000010j2AJeYS7Lv14CWaECad115D.3i2wLVYMJtSwLM9a8B000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc30Pt1IRfHFq1vUmgStagDQAjT1EM4s.Ikve3FC6z7HG.D~Q.D0wbAMEDai~MC1BC6UXmgj.BC.gfAzysPRXNU06q9TI7RZm,13242622
014a95a3391d910c4d343be9f4b41b71aa4a173064efe326e2df6458bd27184b,62361563,0,0,0+,125000000,125000000,tx__J080005Zqoksj000000000010kHmFRBuBgPdd3MG.bgstrGa5R1BZ~cDWK.BnbSE64J000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc30mxzBw94-Pmear485gG2dnpUesYFQauEUHMFTenSP_u~d__Qpqk-dZ83zwPj6mEmT28wzQIfUASciRPcuajvFbw_4AXCFk,13242568
01589c909509a9729d165dfe1731d7195bf98a2183fc7a58527f6baf0f4c0f39,10132138,0,0,0+,125000000,125000000,tx__J080005ZqnTBJ000000000010mztB9k9Hoau5CV~5R7o6mMXzz63_7GpkE.IIN.c3RB000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc31ukWcCQU30M22e-c~8.Q43vxI8Qv69AcrYXesiYtWPpMT7nUGk~s3rdtVAgoKJ6pHteDNTeC2ysvuhgwWpHM8eStWdzHZd,13242496
0162b59f6a6be7ed3ef84cfd301584d3899a1afadfbfe2f79eaa8584ab7663d4,10968411,0,0,0+,125000000,125000000,tx__J080005Zqm1NC000000000010naTEUGIX~S~~4R.c1n4SWDr6MIwM~bVEHH5yaKUp.g000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc33IyoPHIm-8gH8shVEQQ0T9JP.1-gQ09HfUPSpXBWx.huGy1c30Nhui7oJaR7vmxeL0c727vDTkj3K~vTFkCU42EAQNLk3-,13242225
016375090d00374ead51483cfe83fd3380441a2afdd7e66f071414de7bac53a6,11648016,0,0,0+,125000000,125000000,tx__J080005Zqk_wh000000000010ndT2gS0dSYKkkx-_Ff.cW146zI.T~qM1PgkVELJkYp000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc31V4hbwmk7LcruTJwgiheUr6fMXKd43sqYwvsMFKt8myvnnxDxfCttpF8Ji3yj0EaVp_.SzJbTaQ6Y1mRsBM~k4E6HVuBB.,13242219
01696977c80a80d8e83150e6bf7031d24d34cdc825341e283eb51adaebbdc5af,1300422761,1,0,0+2+,175000000,175000000,tx__J080005ZqnzNq000000000010nCGu-xaxdAFcm3DMV0PSBSSRtxCd1WFfIkrULL.Pr-000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc30f.io32MBfcCCAdHVyXRYkCyBaACz_~hzcrpNWuR2yfu_u_pa5LuLDZfga3quXqRwLNgIWa4o8gqQ-FdZSiig43~NjJJWN,13242452
01719ef84ccd25b03dc87c33b713a9dda6f3db1a950086143bcbb7bb45c80e9e,10393620,0,0,0+,125000000,125000000,tx__J080005Zqk-FU000000000010o6v~4Rd9s0.Q7NRKPeGVrsRUPHm08pke-LVLSo83GW000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc33ZSevzIui7Ffb6Lp6WM8V5cisQN3Ay-8LWC-8hwvX0Pn.-Bp22IFqnP6oVEdLbfb_s-kdEmceuB5xM2WBsE~J0nB6592TB,13242213
01734b6f4696c41b6ce789fb93da214cdddb10d674384ad0584aec80d362e889,33769933,1,0,0+2+,175000000,175000000,tx__J080005ZqoI2B000000000010odbsSrnP1KJXWEZB.FyjdVs4dqSe4Ign4IJxddzY8B000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc31QWBDQxmoVMoDJ2Rj3SVHE5mtR-EsCAqMKLk2mdNEzJLhpvsNR2B7z3P3Pbs~aj6aP6gXLnNJzHjJsBD1bIwc6XtUKjm-H,13242621
01774cc48cb13d48ac1033d655ce1618f55ce9c3e13fccfa1c33a7ebdb68c8d3,86328111,1,0,0+2+,175000000,175000000,tx__J080005Zqh2XG000000000010oucP8QPfkzJ43fnmtWn6fmtYtfyf-RY73eEY.KFQdc000000cFcH2Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc324ABn6927Cxmys2bvLrnzb6i3BmNyyRkIZUsHEbPrCt7Nh3uLPkuyY.E3RkSdZqUsYYxZHFJ6oPemU.2.ek~0afTrDHQX.,13241628
